pref_no,Prefecture,Area,Prefectural_capital
1,Hokkaido,北海道地方,札幌(さっぽろ)
2,Aomori,東北地方,青森(あおもり)
3,Iwate,東北地方,盛岡(もりおか)
4,Miyagi,東北地方,仙台(せんだい)
5,Akita,東北地方,秋田(あきた)
6,Yamagata,東北地方,山形(やまがた)
7,Fukushima,東北地方,福島(ふくしま)
8,Ibaraki,関東地方,水戸(みと)
9,Tochigi,関東地方,宇都宮(うつのみや)
10,Gunma,関東地方,前橋(まえばし)
11,Saitama,関東地方,さいたま
12,Chiba,関東地方,千葉(ちば)
13,Tokyo,関東地方,東京(とうきょう)
14,Kanagawa,関東地方,横浜(よこはま)
15,Niigata,中部地方,新潟(にいがた)
16,Toyama,中部地方,富山(とやま)
17,Ishikawa,中部地方,金沢(かなざわ)
18,Fukui,中部地方,福井(ふくい)
19,Yamanashi,中部地方,甲府(こうふ)
20,Nagano,中部地方,長野(ながの)
21,Gifu,中部地方,岐阜(ぎふ)
22,Shizuoka,中部地方,静岡(しずおか)
23,Aichi,中部地方,名古屋(なごや)
24,Mie,関西地方,津(つ)
25,Shiga,関西地方,大津(おおつ)
26,Kyoto,関西地方,京都(きょうと)
27,Osaka,関西地方,大阪(おおさか)
28,Hyogo,関西地方,神戸(こうべ)
29,Nara,関西地方,奈良(なら)
30,Wakayama,関西地方,和歌山(わかやま)
31,Tottori,中国地方,鳥取(とっとり)
32,Shimane,中国地方,松江(まつえ)
33,Okayama,中国地方,岡山(おかやま)
34,Hiroshima,中国地方,広島(ひろしま)
35,Yamaguchi,中国地方,山口(やまぐち)
36,Tokushima,四国地方,徳島(とくしま)
37,Kagawa,四国地方,高松(たかまつ)
38,Ehime,四国地方,松山(まつやま)
39,Kochi,四国地方,高知(こうち)
40,Fukuoka,九州地方,福岡(ふくおか)
41,Saga,九州地方,佐賀(さが)
42,Nagasaki,九州地方,長崎(ながさき)
43,Kumamoto,九州地方,熊本(くまもと)
44,Oita,九州地方,大分(おおいた)
45,Miyazaki,九州地方,宮崎(みやざき)
46,Kagoshima,九州地方,鹿児島(かごしま)
47,Okinawa,沖縄地方,那覇(なは)